****** Process <22192.237.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %       TIME  [uS / CALLS]
--------                                                      -----  -------       ----  [----------]
unicode:characters_to_binary_int/3                                 3     0.00          1  [      0.33]
inet_db:gethostname/0                                              4     0.00          1  [      0.25]
gen_udp:send/4                                                     4     0.00          1  [      0.25]
'Elixir.MetricsLogger':connect/3                                   1     0.00          1  [      1.00]
inet_gethost_native:gethostbyname/2                                4     0.00          1  [      0.25]
inet_gethost_native:getit/4                                        4     0.00          1  [      0.25]
prim_inet:enc_family/1                                             1     0.00          1  [      1.00]
prim_inet:setopts/2                                                2     0.00          1  [      0.50]
prim_inet:is_sockopt_val/2                                         2     0.00          1  [      0.50]
prim_inet:type_value_default/3                                     5     0.00          1  [      0.20]
prim_inet:type_value_1/3                                           5     0.00          1  [      0.20]
prim_inet:enc_opt_val/2                                            4     0.00          1  [      0.25]
prim_inet:ctl_cmd/3                                                4     0.00          1  [      0.25]
'Elixir.GridSearch.Accumulator':new/1                              2     0.00          1  [      0.50]
inet:getaddr/2                                                     4     0.00          1  [      0.25]
inet:udp_options/2                                                 1     0.00          1  [      1.00]
inet:udp_opt/3                                                     4     0.00          1  [      0.25]
inet:udp_add/5                                                     2     0.00          1  [      0.50]
inet:gen_udp_module/1                                              1     0.00          1  [      1.00]
inet:open_opts/8                                                   1     0.00          1  [      1.00]
inet:bind/3                                                        1     0.00          1  [      1.00]
'Elixir.String.Chars':impl_for/1                                   7     0.00          1  [      0.14]
lists:keydelete3/3                                                 4     0.00          1  [      0.25]
'Elixir.Kernel':struct/3                                           2     0.00          1  [      0.50]
gen_server:call/3                                                  1     0.00          1  [      1.00]
gen_server:try_dispatch/3                                          4     0.00          1  [      0.25]
'Elixir.String':to_charlist/1                                      1     0.00          1  [      1.00]
'Elixir.List':'ascii_printable?'/2                                 6     0.00          1  [      0.17]
'Elixir.List':'ascii_printable_guarded?'/2                         6     0.00          1  [      0.17]
'Elixir.List':to_string/1                                          2     0.00          1  [      0.50]
erlang:binary_to_integer/1                                         1     0.00          1  [      1.00]
erlang:make_ref/0                                                  3     0.00          1  [      0.33]
erlang:open_port/2                                                 1     0.00          1  [      1.00]
erlang:port_control/3                                              4     0.00          1  [      0.25]
erlang:integer_to_binary/2                                         6     0.00          1  [      0.17]
net_kernel:dflag_unicode_io/1                                      3     0.00          1  [      0.33]
'Elixir.Inspect':'impl_for!'/1                                    26     0.00          2  [      0.08]
'Elixir.Inspect.Algebra':apply_nesting/3                          30     0.00          2  [      0.07]
'Elixir.Inspect.Algebra':decrement/1                              24     0.00          2  [      0.08]
'Elixir.Inspect.Algebra':group/1                                  10     0.00          2  [      0.20]
'Elixir.Inspect.Algebra':'simple?'/1                              18     0.00          2  [      0.11]
'Elixir.Inspect.Algebra':'-container_doc/6-fun-0-'/4              16     0.00          2  [      0.13]
inet_db:res_optname/1                                              8     0.00          2  [      0.25]
gen:call/4                                                         5     0.00          2  [      0.40]
'Elixir.MetricsLogger':increment/2                                 2     0.00          2  [      1.00]
proc_lib:init_ack/2                                                1     0.00          2  [      2.00]
prim_inet:type_value_2/2                                           7     0.00          2  [      0.29]
prim_inet:enc_value_2/2                                            3     0.00          2  [      0.67]
prim_inet:enc_opt_val/4                                            2     0.00          2  [      1.00]
'Elixir.Inspect.Opts':default_inspect_fun/0                        2     0.00          2  [      1.00]
inet:gethostbyname_tm/4                                            8     0.00          2  [      0.25]
inet:open_setopts/5                                                1     0.00          2  [      2.00]
inet:stop_timer/1                                                  4     0.00          2  [      0.50]
'Elixir.String.Chars':'impl_for!'/1                                7     0.00          2  [      0.29]
lists:member/2                                                     6     0.00          2  [      0.33]
inet_udp:getaddr/1                                                 4     0.00          2  [      0.50]
inet_udp:open/2                                                    1     0.00          2  [      2.00]
gen_server:try_handle_call/4                                       1     0.00          2  [      2.00]
erlang:binary_to_list/1                                            4     0.00          2  [      0.50]
'Elixir.Inspect':impl_for/1                                       26     0.00          3  [      0.12]
'Elixir.GenServer':do_send/2                                       5     0.00          3  [      0.60]
'Elixir.Inspect.Algebra':join/4                                   16     0.00          3  [      0.19]
unicode:characters_to_binary/3                                     3     0.00          3  [      1.00]
gen_udp:open/2                                                     1     0.00          3  [      3.00]
gen_udp:open1/2                                                    1     0.00          3  [      3.00]
gen:do_for_proc/2                                                  1     0.00          3  [      3.00]
inet_gethost_native:ensure_started/0                               4     0.00          3  [      0.75]
os:getenv/1                                                        1     0.00          3  [      3.00]
os:system_time/1                                                   4     0.00          3  [      0.75]
